name,product_url,sku,price,summary,description,features,specs_json,image_urls,source_url,category_id,view_count,unused
Universal 43/6S,https://vprintmachinery.com/san-pham/Universal-436S-277.html, Universal 43/6S,Giá: Liên hệ,"Đầu ghim với khoảng cách ghim hợp lý, tối thiểu giữa tâm các đường ghim giảm xuống còn 43mm",,"Thân thiện với người dùng, dễ dàng quản lý và tiếp cận Điều chỉnh độ dài ghim, dao cắt ghim cho từng độ dày sản phẩm khác nhau không cần công cụ và nhanh chóng Dễ dàng chuyển đổi giữa đóng ghim thường và đóng ghim tạo vòng (loop stitching) bằng bộ phụ tùng thay thế Có thể đóng 14.000 ghim/giờ Khoảng cách tối thiểu giữa các tâm ghim giảm xuống còn 43mm Thiết kế mới của phụ tùng giúp giảm độ hao mòn","{""Độ dày bấm tối đa"": ""L6 = 3 mm L8 = 2 mm"", ""Khoảng cách tối thiểu giữa các ghim (std)"": ""43 – 52 mm"", ""Chiều rộng ghim"": ""12 mm"", ""→ No. 24 – 26 (0,6 – 0,5 mm)"": ""✓"", ""→ or No. 26 – 28 (0,6 – 0,5 mm)"": ""✓"", ""Cho bấm ghim vòng"": ""✓"", ""Loại ghim tròn No. 24 – 26 (0,6 – 0,5 mm)"": ""✓"", ""Đường kính trong ghim vòng"": ""6 mm (hoặc 8 mm)"", ""Khoảng cách tối thiểu giữa các ghim"": ""48 – 54 mm"", ""Cho ghim vòng 6 mm"": ""✓"", ""Cho ghim vòng 8 mm"": ""✓"", ""→ or No. 26 – 28 (0,5 – 0,4 mm)"": ""✓""}",https://vprintmachinery.com/upload/sanpham/schmalheftkopf-universal-43-6-s-4146.png,,,,
Intec_ColorSplash 5000,https://vprintmachinery.com/san-pham/inteccolorsplash-5000-86.html, CS5000,Giá: Liên hệ,Máy in nhanh cho giấy có định lượng lên đến 500gsm! Dòng CS5000 được bổ sung chức năng để in được màu thứ năm (CMYK+1) là màu trắng (White) và màu trong (Clear).,"Tương lai của in ấn KTS sáng tạo Ngoài việc kế thừa toàn bộ các công nghệ hiện đại của dòng máy CS3000/4000, dòng CS5000 còn được bổ sung chức năng để in được màu thứ năm (CMYK+1) là màu trắng (White) và màu trong (Clear), cho phép mở rộng khả năng in ấn. Được coi là dòng máy in đầu bảng của hãng Intec, CS5000 đem đến những công nghệ hiện đại nhất, chất lượng in tốt nhất, thoả mãn các yêu cầu khắt khe từ khách hàng. Một ưu điểm nổi trội của dòng ColorSplash đó là có thể in được giấy có định lượng từ 55 – 500 gsm , rất phù hợp để in thiệp cưới, name card, brochure, hồ sơ … mà hiếm có dòng máy tương đương nào trên thị trường có thể đáp ứng được.",,"{""CS3000"": {""Mô tả"": ""CMYK"", ""Trọng lượng"": ""97.6kg"", ""Hộp mực"": ""CMYK"", ""CS3000 series*"": ""24k"", ""CS4000 series"": ""38k"", ""CS5000 series"": ""38k""}, ""CS4000"": {""Mô tả"": ""CMYK"", ""Trọng lượng"": ""97.6kg"", ""Hộp mực"": ""Trắng (White)"", ""CS3000 series*"": ""-"", ""CS4000 series"": ""-"", ""CS5000 series"": ""10k""}, ""CS5000"": {""Mô tả"": ""CMYK+1"", ""Trọng lượng"": ""110.8kg"", ""Hộp mực"": ""Trong (Clear)"", ""CS3000 series*"": ""-"", ""CS4000 series"": ""-"", ""CS5000 series"": ""20k""}}",https://vprintmachinery.com/upload/sanpham/cs4-5000-6983.jpg,,,,
Iwasaki TR3- Máy in nhãn cuộn offset UV,https://vprintmachinery.com/san-pham/Iwasaki-TR3-May-in-nhan-cuon-offset-UV-240.html, Iwasaki TR3,Giá: Liên hệ,Made in Japan! TR3 thế hệ mới nhất của dòng nhãn cuộn offset do Iwasaki sản xuất để thay thế cho dòng TR2. TR2 đã tốt thì TR3 còn tốt hơn và dễ sử dụng hơn.,TR3 là model mới nhất thay thế cho TR2 đã thành danh trên thị trường Nhật cũng như thế giới. Thừa hưởng và phát triển các đặc tính của TR2 để mang đến hiệu quả sử dụng cao hơn cho nhà in.,"So với dòng TR2 thì TR3 có những cải tiến sau: Đường truyền mực tốt hơn, chỉnh mực nhanh hơn nhờ thiết kế mới của lô mực. Khung máy ngắn hơn và vững chắc hơn cải thiện chất lượng in. Chỉnh cao su ép dễ hơn bởi thiết kế mới của tay cầm. TR3 có hệ thống mới để chỉnh hướng giấy. Thay đổi góc của ống gắn bản nhằm chỉnh vị trí nhanh hơn. Các hệ thống này sẽ được kết nối với hệ thống canh chỉnh chồng màu tự động trong tương lai gần. Các tuỳ chọn sau in của máy Iwasaki Nhũ lạnh In mặt sau, thêm keo huỷ keo.",,https://vprintmachinery.com/upload/sanpham/TR3-4350.png,,,,
Hanway Glory2504,https://vprintmachinery.com/san-pham/Hanway-Glory2504-169.html, Glory2504,Giá: Liên hệ,Dòng máy in Carton dùng phương pháp in kỹ thuật số mạnh mẽ và hiện đại nhất của HandWay. Khổ vật liệu lớn (2500x2000mm) và tốc cực độ cao lên đến 180m/phút dành riêng cho thị trường Carton,"HandWay Glory2504 là dòng máy cao cấp nhất và mạnh mẽ nhất của HanWay hiện nay với nhiều công nghệ hiện đại cùng với những phần mềm hệ thống hỗ trợ tích hợp sẵn giúp việc vận hành máy dễ dàng, ổn định và tiết kiệm thời gian, chi phí cho sản xuất.","- Tốc độ cực cao, có thể đạt được lên đến 180m/phút - Khổ vật liệu lớn 2500mm (W) x 2000mm (L) - Sử dụng phương pháp kỹ thuật số không cần làm bản in tiết kiệm được thời gian, nhân công và chi phí hơn các phương pháp truyền thống - Bàn cấp vật liệu dễ dàng thao tác và điều chỉnh giúp việc chuyển đổi đơn hàng với các kích thước khác nhau nhanh gọn, chính xác - Hệ thống cấp vật liệu tự động có tay kê đảm bảo độ chính xác khi in - Tự động đo độ dày vật liệu, điều chỉnh độ cao đầu in và con lăn áp suất - Thời gian chuyển đổi đơn hàng cực nhanh: 8 giây với đơn hàng cùng kích thước và tối đa 2 phút cho các khổ thay đổi khác nhau - Hệ thống phát hiện và cảnh báo cong vênh vật liệu - Hệ thống giám sát từ xa để phát hiện và giải quyết lỗi trực tuyến tức thì - Phần mềm quản lý sản xuất kèm máy - Với việc có thể tích hợp cả quy trình sản xuất từ đầu ra đến thành phẩm và nhiều phần mềm quản lý có sẵn trên máy in Glory2504 giúp tiết kiệm thời gian, nhân công và chi phí sản xuất - Sử dụng đầu in KYOCERA công nghiệp tốt nhất thị trường hiện nay - Bộ phận cảnh báo và chống cong vênh vật liệu để bảo vệ đầu in khỏi hư hỏng - Sử dụng hệ thống tự động vệ sinh đầu in, cấp và xả mực giúp tối ưu hóa việc sử dụng mực và duy trì tuổi thọ đâu in - Mực in gốc nước thân thiện môi trường - Hệ thống tự tính toán tổng lượng mực tiêu thụ và độ phủ giúp bề mặt giúp việc sử dụng mực tiết kiệm hơn Kích thước ảnh: 2000 x 1345 mm Số điểm ảnh: 47248 x 31765 Độ phân giải 600 x 600 dpi",,"https://vprintmachinery.com/upload/hinhthem/201-4512.png, https://vprintmachinery.com/upload/sanpham/1-01-5545.png",,,,
Máy in phun màu/đen trắng tốc độ cao Phenix440/440C,https://vprintmachinery.com/san-pham/May-in-phun-mauden-trang-toc-do-cao-Phenix440440C-347.html, Máy in sách kỹ thuật số Phenix 440C,Giá: Liên hệ,"Máy in phun màu tốc độ cao lên tới 100m/phút, chất lượng in ổn định, hỗ trợ sản xuất 24 giờ. Đây là giải pháp tố ưu để in sách, báo, tạp chí một các nhanh chóng.","Máy in phun tốc độ cao Phenix440 là lựa chọn hoàn hảo cho sản xuất công nghiệp, mang lại sự kết hợp tối ưu giữa tốc độ in ấn siêu nhanh và chất lượng hình ảnh tinh tế. Với công nghệ Single-Pass tiên tiến và độ phân giải lên đến 1200x1200dpi. Thiết bị có thiết kế nhỏ gọn, tiết kiệm không gian và vận hành linh hoạt, đạt tốc độ lên tới 100m/phút với chiều rộng in 436mm, dễ dàng đáp ứng in khổ A4 toàn chiều rộng. Sử dụng mực gốc nước thân thiện môi trường và hệ thống hoạt động thông minh (tự động làm sạch, báo động hết giấy), Phenix440 giúp tối ưu hóa quy trình, tiết kiệm chi phí và đảm bảo sản xuất liên tục 24/7 với độ ổn định cao.","Cấu hình in tiết kiệm chi phí Máy có thiết kế nhỏ gọn, hoạt động linh hoạt, tiết kiệm nhiều không gian làm việc Tốc độ in lên tới 100m/phút, kết hợp sản xuất tốc độ cao với tính linh hoạt trong vận hành Chiều rộng in đạt tới 436mm, có thể đáp ứng yêu cầu in khổ A4 toàn chiều rộng Chất lượng in ổn định và đáng tin cậy Được trang bị vòi phun áp điện phun mực theo yêu cầu có độ chính xác cao, bền bỉ Được trang bị hệ thống làm mát bằng nước cho bìa và giấy để đảm bảo sự ổn định trong sản xuất Chất lượng in ổn định, hỗ trợ sản xuất 24 giờ Hệ thống nạp giấy được điều khiển bởi động cơ servo và có độ ổn định cao Hiệu ứng hình ảnh chính xác và tinh tế Sử dụng công nghệ Single-Pass, in không tiếp xúc, đúc một lần Đầu in phun ra những giọt mực nhỏ và hiệu ứng hình ảnh in được tinh chỉnh cao. Độ chính xác in lên đến 1200x1200dpi, với hình ảnh tinh tế và màu sắc tươi sáng Mực in gốc nước bốn màu thân thiện với môi trường, tái tạo màu sắc phong phú Hoạt động thông minh nhanh chóng và tiện lợi Phần mềm tích hợp cao cho phép chấp nhận đơn hàng nhanh chóng, thay đổi đơn hàng liền mạch, tùy chỉnh lô nhỏ và các chức năng khác Giao diện vận hành thân thiện, dễ hiểu và sử dụng nhanh chóng Chức năng tự động làm sạch vòi phun và tự động giữ ẩm Hệ thống nạp giấy có chức năng báo động tự động và tự động tắt khi cuộn giấy hết, rất tiện lợi khi vận hành. Cắt và xếp hàng Với chức năng cân bằng giấy, cuộn giấy nhỏ cũng có thể in bình thường Cắt theo đường, xếp chồng lệch và đầu ra riêng biệt Chiều dài cắt đạt 660mm (tùy chọn 880mm) Tối ưu hóa chất lượng in sách và ấn phẩm định kỳ Hỗ trợ in trên nhiều loại giấy khác nhau bao gồm giấy offset, giấy kỹ thuật số, giấy tráng phủ, giấy báo, v.v. Có chức năng loại bỏ bụi và loại bỏ tĩnh điện Chức năng bù đầu phun có thể giảm thiểu các vấn đề về chất lượng in do đầu phun nghiêng hoặc đầu phun bị tắc","{""Phenix 440"": {""Phương thức in (Printing mode)"": ""In 1 màu đen 2 mặt""}, ""Phenix 440C"": {""Phương thức in (Printing mode)"": ""In CMYK 2 mặt""}}","https://vprintmachinery.com/upload/hinhthem/440c-1-3459.png, https://vprintmachinery.com/upload/sanpham/440c-(2)-6539.png",,,,
Tư vấn và xây dựng nhà máy in và bao bì,https://vprintmachinery.com/san-pham/tu-van-va-xay-dung-nha-may-in-va-bao-bi-139.html, Dịch vụ tư vấn,Giá: Liên hệ,VPrint Machinery cung cấp dịch vụ tư vấn và xây dựng nhà máy in và bao bì theo yêu cầu.,Chúng tôi cung cấp dịch vụ tư vấn và xây dựng nhà máy in và bao bì. Chúng tôi có thể thực hiện toàn bộ từ A đến Z để bạn có thể thiết lập nhà máy mới tại Việt Nam hoặc bất kỳ bước nào trong quy trình bạn yêu cầu.,,,https://vprintmachinery.com/upload/sanpham/engineering-consultancy-9715.png,,,,
Máy in EFI Nozomi 14000 LED,https://vprintmachinery.com/san-pham/May-in-EFI-Nozomi-14000-LED-307.html,,Giá: Liên hệ,"Máy in EFI Nozomi 14000 LED là máy in thế hệ thứ 2 của dòng máy in kỹ thuật số trên carton và thuộc thế hệ thứ 5 của lớp máy in công nghiệp single pass có sản lượng lớn và khổ lớn (1.4m x 3m). Máy tối ưu để thay thế offset bồi khổ lớn và máy flexo cao cấp cho số lượng đơn hàng nhỏ đến trung bình! Không phụ thuộc tay nghề thợ, đạt hầu hết các chứng chỉ quản lý màu của thế giới.","MÔ HÌNH KINH D OANH MỚI Bao bì chất luọng cao sẽ cho phép bạn phân biệt và nắm bắt các cơ hội kinh doanh mới, chẳng hạn như thương mại điện tử, bao bì thân thiện với môi trường, tùy chỉnh và hơn thế nữa: Tiếp cận thị trường và phân khúc mới. Đáp ứng nhanh hơn với nhu cầu và tiêu chuẩn của khách hàng và thị trường. Luôn nói “CÓ!” với mọi công việc. Tăng lợi nhuận. Thiết lập mối quan hệ đáng tin cậy và lâu dài với khách hàng. TÍNH NĂNG MỚI Tăng doanh thu cho doanh nhiệp của bạn nhờ vào sự linh hoạt chưa từng có của máy in Nozomi 14000 LED: Các bộ phận của máy kết hợp với nhau một cách hiệu quả giúp bạn sản xuất ra những bao bì có chất lượng đồ họa cao và đẹp mắt. Nhỏ gọn hơn các dòng máy in Flexo và Offset hiện tại của bạn hiện tại. Tối ưu nhất về hiệu suất thiết bị cho bạn. Vốn đầu tư rất hợp lý và kinh tế.","NĂNG SUẤT CAO VÀ HIỆU QUẢ TỐI ĐA Máy in Nozomi 14000 LED có thiết kế mạnh mẽ để sử dụng trong công nghiệp nặng với độ tin cậy và năng suất cao. Nó cân bằng việc xử lý tấm carton và chất lượng in với: Khả năng xử lý mọi tấm carton với độ cao của sóng khác nhau. Lực hút tấm carton mạnh mẽ giúp cho quá trình in được tối ưu nhất. Những tấm carton bị hỏng không làm ngừng quá trình sản xuất bất chợt mà sẽ được loại bỏ tự động. Đầu in tốc độ cao và không bao giờ bị nghẽn nên không cần phải thay thế đầu in thường xuyên. Các bộ phận được thiết kế tối ưu cho việc tháo lắp và thay thế. Đảm bảo cho qua trình vận hành và bảo trì dễ dàng. Khả năng thu thập, phân tích hình ảnh và thu thập dữ liệu mạnh mẽ của phần mềm. Giao diện mới trực quan, thân thiện với người dùng KHẢ NĂNG IN VỚI ĐỘ PHÂN GIẢI LỚN VÀ CHẤT LƯỢNG ĐỒ HỌA TUYỆT VỜI M áy in Nozomi 14000 LED là một giải pháp hiệu quả nhất để sản xuất bao bì cao cấp giúp nâng cao việc mua sắm và trải nghiệm của người tiêu dùng. Sự cân bằng hoàn hảo c ủa màu sắc và độ sắc nét cao của chữ với: Mực có độ nhớt cao cung cấp độ bão hòa và độ phủ màu tuyệt vời. Nhiều cấp độ thang màu xám hơn và đầu in phun tốc độ cao, giúp tăng độ chính xác và màu gradients mượt mà hơn. Các công cụ dựa trên hệ thống thị giác nhân tạo của chúng tôi để tự động kiểm soát chất lượng in. Phần mềm được lập trình theo front-end của Fiery™ điều khiển máy hoạt động với khả năng phân tích hình ảnh chuyên sâu. Chứng chỉ Fogra và Chứng chỉ màu G7. TÍNH BỀN VỮNG Máy in Nozomi 14000 LED cân bằng giữa các quy trình hiệu quả, tiêu thụ tài nguyên thấp hơn, giảm chất thải và có khả năng tái chế hoàn toàn, góp phần tạo ra nền kinh tế tuần hoàn của ngành công nghiệp carton nhờ vào: Mức tiêu hao năng lượng thấp hơn 35% so với in Flexo. Quy trình hiệu quả hơn – không cần bản in hoặc mực in trộn sẵn, không sản xuất thừa và đơn giản hóa kho chứa hàng. Ít chất thải hơn – không cần nước để làm sạch và hạn chế đến mức tối đa về mực in và bìa carton trong quá trình thiết lập. Hầu như không có khí thải VOC. Mực hoàn toàn có thể tái chế và có thể thay thế.","{""Tối đa"": ""Board/sheet (Rộng x Dài): 55,12 inch x 94,49 inch (140cm x 240cm), tuỳ chọn 140 x 300Cm"", ""Tối thiểu"": ""Board/sheet (Rộng x Dài): 17,72 inch x 17,72 inch (45cm x 45cm)"", ""Khoảng cách giữa các tấm carton"": ""Tối thiểu 0,4 inch (10mm)"", ""Phạm vi độ dày của tấm carton"": ""0,0314 in (0,6mm - 12mm)""}",https://vprintmachinery.com/upload/sanpham/nozomi_14000_led-web-2625.jpg,,,,
Máy kỵ mã DIGI-FS9,https://vprintmachinery.com/san-pham/May-ky-ma-DIGIFS9-222.html, DIGI-FS9,Giá: Liên hệ,"HSB DIGI-FS 9 là một công cụ toàn diện sử dụng nguyên tắc mô-đun với 3 chức năng trong 1: Thành phẩm kỹ thuật số (DIGI –Finisher), gấp – đóng cuốn và chức năng của một máy kỵ mã thông thường, làm cho nó trở thành một sản phẩm thực sự mang tính cách mạng cho quá trình thành phẩm sau in.","HSB DIGI-FS 9 là một công cụ toàn diện sử dụng nguyên tắc mô-đun với 3 chức năng trong 1 : Thành phẩm kỹ thuật số (DIGI –Finisher) , gấp – đóng cuốn và chức năng của một máy kỵ mã thông thường , làm cho nó trở thành một sản phẩm thực sự mang tính cách mạng cho quá trình thành phẩm sau in . Tùy thuộc vào yêu cầu của bạn, nó có thể siêu nhỏ gọn hoặc mở rộng thành một hệ thống lớn và mang lại sự thân thiện với người dùng và tính linh hoạt tối đa đặc trưng của Hohner. Hệ thống kết hợp này là kết quả của việc kết hợp các quy trình gấp, bắt tay sách và đóng ghim riêng biệt trước đây trong quy trình thành phẩm truyền thống hoặc kỹ thuật số sao cho đạt độ linh hoạt cao nhất có thể. Với chức năng tùy chọn mới là gấp các tờ in thô trực tiếp từ máy in hoặc các tờ được xả bởi máy in trong một công đoạn gấp tiếp nối để tạo thành một tập sách hoàn chỉnh (bao gồm ruột và một tờ bao cùng định lượng). Điều này dẫn đến việc đơn giản hóa tối đa cho quá trình xử lý tiếp theo; tập sách đã được bắt tay chỉ cần được đóng ghim với độ chính xác cao và từ đó được chuyển tiếp đến bộ phận xén và bộ phận đầu ra. Điều này giúp loại bỏ hoàn toàn các hệ thống nạp tờ đơn, nạp tờ gấp và nạp tờ bìa cũng như sự phức tạp của thiết bị bắt tay sách.","Ba chức năng trong một hệ thống: Thành phẩm DIGI, gấp - đóng, kỵ mã Cấp tờ thay thế từ cuộn (không dừng) hoặc từ bộ cấp chồng phẳng Đơn vị gấp tùy chọn với bốn túi (có thể mở rộng riêng lẻ thành sáu túi) Thiết kế nhỏ gọn với yêu cầu không gian sàn nhỏ Tổng đầu tư hiệu quả về chi phí Giảm thiểu yêu cầu về nhân sự chỉ với một người có thể vận hành cả ba hệ thống con trong hệ thống sản xuất Không mất thêm thời gian để vận chuyển các tờ đã gấp đến máy kỵ mã Loại bỏ các thao tác giữa máy bắt tay và hệ thống trung chuyển Tăng năng suất Việc mở rộng và điều chỉnh hệ thống sau đó theo yêu cầu của từng khách hàng nhờ vào hệ thống mô-đun mở rộng (các tùy chọn mở rộng tùy chọn đa dạng liên quan đến bộ cấp, thiết lập sử dụng kép, giám sát đóng ghim, bộ xếp chồng và đếm, và hệ thống vận chuyển để loại bỏ giấy thải) Chiều cao khay nạp thuận tiện và dễ dàng cho người sử dụng Lưỡi dao được kết nối ổn định vào khung trong bộ phận xén Tổng cộng có 12 ổ bi tuần hoàn để dẫn hướng cho độ chính xác cao và tuổi thọ lưỡi dao cực dài Loại bỏ tình trạng kệch ghim Sử dụng cho các quy trình riêng lẻ vẫn được đảm bảo nếu có nhu cầu (Thành phẩm DIGI, đóng gấp hoặc kỵ mã thông thường). ​","{""Khổ tiêu chuẩn"": {""Tờ in FSA: max. tùy chọn min."": ""Rộng x dài 520 x 850 (1250) mm 660 x 850 (1250) mm 100 x 120 mm"", ""Khổ cấp max.:"": ""dài x rộng 365 x 340 mm, đã xén 365 x 350 mm, chưa xén"", ""Khổ min.:"": ""105 x 75 mm, đã xén 105 x 105 mm, chưa xén"", ""Độ dày cắt max.:"": ""10 mm"", ""Độ dày đóng max.:"": ""5 mm""}, ""Khổ nhỏ (tùy chọn)"": {""Khổ cấp max.:"": ""95 (*80) x 60 mm; *chưa xén (chỉ xén bụng)"", ""Khổ min.:"": ""95 x 60 mm, đã xén 70 x 60 mm, đã xén (với thiết bị xén dập) **70 x 60 mm xén dập 9 mm"", ""Độ dày cắt max.:"": ""10 mm"", ""Khoảng cách xén max.:"": ""50 mm cho xén bụng (tùy thuộc vào khổ) mỗi 50 mm cho xén đầu và chân (tùy thuộc vào khổ)""}}",https://vprintmachinery.com/upload/sanpham/DIGI-FS_9-1-2759.jpg,,,,
M 45/6,https://vprintmachinery.com/san-pham/M-456-276.html, M 45/6,Giá: Liên hệ,"Với dòng đầu ghim này, người sử dụng các dòng máy Müller Martini, Osako, Purlux có thể hưởng thụ chất lượng và độ tin cậy của sản phẩm Hohner.",,"Chuyên gia đáng tin cậy chuyên biệt cho dòng máy đóng ghim Heidelberg ST 400 và ST 450 từ những nhà tiên phong trong công nghệ đóng ghim. Một đầu ghim cho tất cà độ dày từ 2 tờ đến 6 mm Phù hợp cho nhiều giải pháp do thiết kế hẹp và khoảng cách tối thiểu giữa tâm các ghim là 43 mm Điều chỉnh độ dài ghim, dao cắt ghim cho từng độ dày sản phẩm khác nhau không cần công cụ và nhanh chóng","{""Độ dày bấm tối đa"": ""6 mm"", ""Khoảng cách tối thiểu giữa các ghim (std)"": ""45 – 54 mm"", ""Chiều rộng ghim bấm"": ""12 mm"", ""No. 24 – 26 (0,6 – 0,5 mm)"": ""✓"", ""or No. 26 – 28 (0,6 – 0,4 mm)"": ""✓"", ""or No. 23 (0,7 mm)"": ""✓"", ""Cho chiều rộng ghim 14 mm"": ""✓"", ""Khoảng cách tối thiểu giữa các ghim"": ""47 – 56 mm""}",https://vprintmachinery.com/upload/sanpham/schmalheftkopf-m-45_6-1-8052-0820.png,,,,
Máy làm ly giấy Hàn Quốc,https://vprintmachinery.com/san-pham/May-lam-ly-giay-Han-Quoc-130.html,,Giá: Liên hệ,Máy làm ly giấy tự động chất lượng cao được sản xuất tại Hàn Quốc,,"Hiệu suất cao và giá cả cạnh tranh Hoạt động dễ dàng và đơn giản Độ bền tuyệt vời Dịch vụ bảo trì nhanh chóng và đáng tin cậy Ứng dụng Đồ uống nóng và lạnh, cốc kem và cốc giấy ăn nhanh khác","{""Sự miêu tả"": {""1"": ""Kích cỡ cốc"", ""3"": ""Tốc độ sản xuất"", ""8"": ""Kích thước"", ""9"": ""Cân nặng""}, ""VPM-100A"": {""1"": ""2,5oz ~ 9oz"", ""3"": ""70 ~ 80 cái / phút"", ""8"": ""2760x1350x1550"", ""9"": ""2000Kg""}, ""VPM-100B"": {""1"": ""12oz ~ 16oz"", ""3"": ""60 ~ 70cái / phút"", ""8"": ""2900x1350x1650"", ""9"": ""2300Kg""}, ""VPM-100C"": {""1"": ""22oz ~ 32oz"", ""3"": ""50 ~ 60cái / phút"", ""8"": ""3080x1350x1800"", ""9"": ""2500Kg""}, ""VPM-100D"": {""1"": ""44oz ~ 170oz"", ""3"": ""30 ~ 50 cái / phút"", ""9"": ""3000Kg ~ 3500Kg""}}",https://vprintmachinery.com/upload/sanpham/may-lam-ly-giay-3998.JPG,,,,
Máy làm túi giấy tự động VP-330,https://vprintmachinery.com/san-pham/May-lam-tui-giay-tu-dong-VP330-229.html, NW-330,Giá: Liên hệ,Máy làm túi giấy đáy vuông tự động với bộ cấp cuộn điều chỉnh.,"Máy làm túi giấy tự động VP-330 có thể sản xuất túi giấy đày vuông từ vật liệu là giấy màu hoặc giấy in dạng cuộn trong một lần chạy . Máy có thể được sử dụng sản xuất nhiều loại túi giấy với tốc độ và hiệu quá cao. Một thiết bị lý tưởng để sản xuất túi giấy công nghiệp. Máy bao gồm bộ xả cuộn (cấp cuộn khí nén, dẫn cuộn tự động, ổn định lực căng), dán keo hông, mắt theo dõi hình ảnh in, gấp giấy hình ống, cắt theo chiều dài cố định, móc đáy túi, dán đáy túi, định hình đáy, vận chuyển thành phẩm v.v... Toàn bộ máy được điều khiển tập trung bằng màn hình cảm ứng PLC và điều khiển điều chỉnh chiều dài túi bằng động cơ servo. Có thể yêu cầu bộ phận in 2 màu/6 màu, thiết bị cán màng cửa sổ túi và thiết bị đục lỗ quai xách theo nhu cầu. Có thể tương thích với máy làm dây quai xách phẳng, dây quai xách xoắn, máy thu cuộn, etc., để làm cho các sản phẩm cạnh tranh hơn và đa dạng hơn.","Dễ dàng vận hành và điều khiển với giao diện Người dùng – máy tính thông qua màn hình cảm ứng Schneider từ Pháp. Sử dụng Điều khiển PC Schneider Chính hãng của Pháp, tích hợp với sợi quang, đảm bảo chạy ổn định ở tốc độ cao. Động cơ Servo chính hãng của Pháp và Hiệu chỉnh mắt quang điện Gemany Original SICK, theo dõi túi in một cách chính xác. Cấu trúc motor nâng nạp và tháo cuộn vật liệu thô , hệ thống xả cuộn với khả năng điều khiển ổn định lực căng tự động. ​",,"https://vprintmachinery.com/upload/hinhthem/330feed-9531.jpg, https://vprintmachinery.com/upload/sanpham/330%E6%96%B9%E5%BA%95%E7%BA%B8%E8%A2%8B%E6%9C%BA-1740.jpg, https://vprintmachinery.com/upload/sanpham/330方底纸袋机-1740.jpg",,,,
